SPBC16H5.08c,SPBC16H5.08c
mKIAA0159,Ncapd2
CG2678,CG2678
B,SmB
DmelCG2678,CG2678
anon-84Eb,CG2678
ruvb-1,ruvb-1
CELE_C27H6.2,ruvb-1
TRS20,TRAPPC2
S000007431,TRS20
CABIN1,CABIN1
CAIN,NUP214
PPP3IN,CABIN1
AT2G40765,AT2G40765
ceh-33,ceh-33
CELE_C10G8.7,ceh-33
ANKRD34B,ANKRD34B
DP58,ANKRD34B
mcmbp,mcmbp
MCM-BP,MCMBP
c10orf119,mcmbp
flj13081,mcmbp
AEN,AEN
ISG20L1,AEN
pp12744,AEN
rffE,rffE
ssp6,ssp6
CG6619,ssp6
DmelCG6619,ssp6
Serinc1,Serinc1
1500011D18Rik,Serinc1
AI315070,Serinc1
AIGP-2,Serinc1
TMS-2,SERINC1
Tde1l,Serinc1
Tde2,Serinc1
Tms2,Serinc1
mKIAA1253,Serinc1
Os11g0174000,Os11g0174000
FGB,FGB
HEL-S-78p,FGB
GLYR2,GLYR2
F11A6.12,GLYR2
GLYOXYLATE REDUCTASE 2,GLYR2
GR2,GLYR2
SPRYD4,SPRYD4
Gucy1b2,Gucy1b2
B930025B03,Gucy1b2
GC-SB2,GUCY1B2
umuD,umuD
ZC416.6,ZC416.6
Slc30a7,Slc30a7
1810059J10Rik,Slc30a7
2610034N15Rik,Slc30a7
4833428C12Rik,Slc30a7
AI467242,Slc30a7
ZnT7,Slc30a7
Zntl2,Slc30a7
MYOC,MYOC
GLC1A,MYOC
GPOA,MYOC
JOAG,MYOC
JOAG1,MYOC
myocilin,MYOC
SPDS1,SPDS1
F5O8.38,SPDS1
F5O8_38,SPDS1
spermidine synthase 1,SPDS1
DLG4,LLGL1
SAP-90,DLG4
SAP90,Dlg4
ugd,ugd
relB,relB
Eef1e1,Eef1e1
1110003A02Rik,Eef1e1
Kifc2,Kifc2
magt1,magt1
AT1G30440,AT1G30440
F26G16.2,AT1G30440
F26G16_2,AT1G30440
AGP30,AGP30
ATAGP30,AGP30
T1B8.9,AGP30
T1B8_9,AGP30
arabinogalactan protein 30,AGP30
beat-IV,beat-IV
CG10152,beat-IV
CG13823,beat-IV
DmelCG10152,beat-IV
beat IV,beat-IV
beatIV,beat-IV
F6K5.3,PS2
F6K5_3,PS2
Presenilin-2,PS2
tofu-1,tofu-1
C27H6.3,tofu-1
C11orf96,C11orf96
Dclre1a,Dclre1a
2810043H12Rik,Dclre1a
AU022226,Dclre1a
Pso2,Dclre1a
Smn1a,Dclre1a
Snm1,Snm1
mKIAA0086,Dclre1a
Xrcc3,Xrcc3
4432412E01Rik,Xrcc3
AI182522,Xrcc3
AW537713,Xrcc3
AT3G05100,AT3G05100
T12H1.6,AT3G05100
T12H1_6,AT3G05100
MYF6,MYF6
CNM3,MYF6
MRF4,MYF6
bHLHc4,MYF6
myf-6,MYF6
Fam103a1,Fam103a1
2410047I02Rik,Fam103a1
2610204K14Rik,Fam103a1
RAM,FAM103A1
ygjO,rlmG
Fam96b,Fam96b
1110019N10Rik,Fam96b
ACTL7A,ACTL7A
SMG1P5,SMG1P5
rrn11,rrn11
CCDC67,CCDC67
Cpr65Au,Cpr65Au
"BcDNA:GH21145",Cpr65Au
CG18778,Cpr65Au
DmelCG18778,Cpr65Au
DmelCpr65Au,Cpr65Au
Os05g0334400,Os05g0334400
TYRO3,TYRO3
BYK,TYRO3
Dtk,Tyro3
Etk-2,Tyro3
RSE,TYRO3
Rek,TYRO3
Sky,Tyro3
Tif,Tyro3
CG12534,Alr
DmelCG12534,Alr
AT2G25625,AT2G25625
nudH,rppH
AT5G07900,AT5G07900
F13G24.100,AT5G07900
pqn-68,pqn-68
PSME3,PSME3
HEL-S-283,PSME3
PA28-gamma,PSME3
PA28G,PSME3
REG-GAMMA,PSME3
gig,gig
6975,gig
C1,Dl
CG6975,gig
DmelCG6975,gig
Gigas,gig
ME 109,gig
TSC2,TSC2
Tsc2/gig,gig
dTSC2,gig
"l(3)109",gig
Abcc9,Abcc9
AI414027,Abcc9
AI449286,Abcc9
SUR2A,Abcc9
SUR2B,Abcc9
Sur2,Med23
LSm1,LSm1
CG4279,LSm1
DmelCG4279,LSm1
Pde3a,Pde3a
RNPDE3A,Pde3a
ZC239.14,ZC239.14
CELE_ZC239.14,ZC239.14
Gm11517,Gm11517
OTTMUSG00000001634,Gm11517
grx2,grx2
Lzts3,Lzts3
Prosapip1,Lzts3
GEMIN4,GEMIN4
HC56,GEMIN4
HCAP1,GEMIN4
HHRF-1,GEMIN4
TMEM139,TMEM139
UGT2A3,UGT2A3
HAO2,HAO2
GIG16,HAO2
HAOX2,HAO2
AT5G54600,AT5G54600
MRB17.10,AT5G54600
MRB17_10,AT5G54600
DENND5A,DENND5A
RAB6IP1,DENND5A
AT5G26800,AT5G26800
F2P16.4,AT5G26800
F2P16_4,AT5G26800
AMPH,AMPH
AMPH1,AMPH
MXD4,MXD4
MAD4,MXD4
MST149,MXD4
MSTP149,MXD4
GGA2,GGA2
S000007494,GGA2
DEFB103A,DEFB103A
BD-3,DEFB103B
DEFB-3,DEFB103B
DEFB103,DEFB103B
DEFB3,DEFB103B
HBD3,DEFB103B
HBP-3,DEFB103B
HBP3,DEFB103B
hBD-3,DEFB103A
CG10425,CG10425
DmelCG10425,CG10425
MVP,MVP
LRP,arr
VAULT1,Mvp
MIP6,MIP6
L000004334,MIP6
Eci3,Eci3
1810022C23Rik,Eci3
Kseg2,Eci3
gpd-1,gpd-1
CELE_T09F3.3,gpd-1
AT3G09770,AT3G09770
F11F8.36,AT3G09770
alpha-ADR,alpha-ADR
MDJ22.19,alpha-ADR
MDJ22_19,alpha-ADR
alpha-adaptin,alpha-ADR
1a-1b,ORF1ab
1ab,ORF1ab
Replicase polyprotein 1ab,ORF1ab
SARS-CoV orf1ab,ORF1ab
rep,rept
CARS-AS1,CARS-AS1
YBL044W,YBL044W
snf-6,snf-6
CELE_M01G5.5,snf-6
CG2941,CG2941
DmelCG2941,CG2941
OR6C4,OR6C4
OR12-10,OR6C4
rbms1,rbms1
let-92,let-92
CELE_F38H4.9,let-92
AT5G21940,AT5G21940
SPATA25,SPATA25
C20orf165,SPATA25
TSG23,SPATA25
dJ337O18.8,SPATA25
Bbox1,Bbox1
AI874739,Bbox1
PFK4,PFK4
K11J9.3,PFK4
K11J9_3,PFK4
phosphofructokinase 4,PFK4
MLNR,MLNR
GPR38,MLNR
MTLR1,MLNR
CCDC102B,CCDC102B
ACY1L,CCDC102B
AN,DIAPH3
C18orf14,CCDC102B
HsT1731,CCDC102B
Grk5,Grk5
Gprk5,Grk5
DMA1,DMA1
CHF1,HEY2
S000029719,DMA1
ubiquitin-conjugating protein DMA1,DMA1
CKB2,CKB2
L000000345,CKB2
casein kinase 2 regulatory subunit CKB2,CKB2
KMT2C,KMT2C
HALR,Kmt2c
MLL3,KMT2C
ck,Cys1
53D10S,ck
"BG:DS00929.11",ck
CG7595,ck
DM7a,ck
DMyoVIIa,ck
Dm 35B,ck
DmVIIA,ck
DmelCG7595,ck
Dro35B,ck
"ESTS:53D10S",ck
Mhc35BC,ck
MyoVIIA,ck
anon-35Bb,ck
br27,ck
ck/MyoVIIA,ck
"l(1)35Ca",ck
"l(2)07130",ck
"l(2)35Ca",ck
"l(2)br27",ck
l35Ca,ck
stc,stc
stch,ck
Ndufa11,Ndufa11
2010012C24Rik,Ndufa11
AV006275,Ndufa11
B14.7,NDUFA11
crcB,crcB
pro1,pro1
und,und
CG4008,und
DMAP2,und
DmelCG4008,und
MAP2,MAP2
CG3368,CG3368
DmelCG3368,CG3368
SD09067p,CG3368
rpmE,rpmE
AT2G02510,AT2G02510
T8K22.19,AT2G02510
T8K22_19,AT2G02510
ACTR5,ACTR5
INO80M,ACTR5
Fbln5,Fbln5
"su(f)","su(f)"
19,wap
28,Hsp27
29,"su(f)"
3-DES,"su(f)"
3DES,"su(f)"
CG17170,"su(f)"
CstF-77,Cstf3
CstF77,"su(f)"
DmelCG17170,"su(f)"
EC235,"su(f)"
R-9-18,"su(f)"
R9-18,"su(f)"
SU-f,"su(f)"
"l(1)20Eb","su(f)"
"l(1)3DES","su(f)"
"l(1)EC235","su(f)"
"l(1)G0393","su(f)"
"l(1)R-9-18","su(f)"
"l(1)X1","su(f)"
"l(1)X3","su(f)"
"l(1)su(f)","su(f)"
l3DES,"su(f)"
su[+]-f,"su(f)"
nfx-1,nfx-1
CELE_C16A3.7,nfx-1
tag-182,nfx-1
cyoB,cyoB
gma12,gma12
PF14_0343,PF14_0343
Pja2,Pja2
AI447901,Pja2
AL022700,Pja2
Neurodap1,PJA2
mKIAA0438,Pja2
OVGP1,OVGP1
CHIT5,OVGP1
EGP,OVGP1
MUC9,MUC5B
OGP,OVGP1
T12A2.7,T12A2.7
CG9822,CG9822
Agr-like,CG9822
DmelCG9822,CG9822
Os11g0163100,Os11g0163100
MOB1B,MOB1B
MATS2,MOB1B
MOB4A,MOB1B
MOBKL1A,MOB1B
NRDE2,NRDE2
C14orf102,NRDE2
lys1,lys1
TGFB1I1,TGFB1I1
ARA55,Tgfb1i1
HIC-5,TGFB1I1
HIC5,TGFB1I1
TSC-5,Tgfb1i1
Sephs2,Sephs2
Sps2,Sps2
Ysg3,Sephs2
Fopnl,Fopnl
0610037P05Rik,Fopnl
CG17385,CG17385
DmelCG17385,CG17385
MAGEC2,MAGEC2
CT10,MAGEC2
HCA587,MAGEC2
AT2G43610,AT2G43610
F18O19.28,AT2G43610
sqt-2,sqt-2
CELE_C01B12.1,sqt-2
Rol,sqt-1
col-67,sqt-2
CG2930,CG2930
"BcDNA:GH06717",CG2930
CG32780,CG2930
CG32787,CG2930
DmelCG2930,CG2930
AT5G40640,AT5G40640
MNF13.19,AT5G40640
MNF13_19,AT5G40640
nas-23,nas-23
CELE_R10H1.5,nas-23
lysC,lysC
DDX23,DDX23
PRPF28,DDX23
SNRNP100,DDX23
U5-100K,DDX23
U5-100KD,DDX23
SRS4,SRS4
F8D23.10,SRS4
F8D23_10,SRS4
SHI-related sequence 4,SRS4
Tnip3,Tnip3
9030611K07Rik,Tnip3
ABIN-3,TNIP3
LIND,TNIP3
HK3,HOOK3
AHK3,HK3
F17L21.11,HK3
F17L21_11,HK3
histidine kinase 3,HK3
Col4a2,Col4a2
Col4a-2,Col4a2
AT2G28240,AT2G28240
T3B23.9,AT2G28240
T3B23_9,AT2G28240
pho,pho
CG17743,pho
DmelCG17743,pho
PHO/YY1,pho
YY1,YY1
dYY1,pho
"l(4)102EFc",pho
"l(4)29",pho
"l(4)BU-2",pho
"l(4)OC-1",pho
"l(4)pho",pho
EIF2AK4,EIF2AK4
GCN2,Eif2ak4
PVOD2,EIF2AK4
npg1,npg1
SPBC17D1.07c,npg1
C25H3.3,C25H3.3
CELE_C25H3.3,C25H3.3
Tceanc,Tceanc
A630018P17Rik,Tceanc
Gm390,Tceanc
AT5G51010,AT5G51010
K3K7.19,AT5G51010
K3K7_19,AT5G51010
ABCA1,ABCA1
ABC-1,Abca1
CERP,ABCA1
HDLDT1,ABCA1
TGD,ABCA1
cpl-1,cpl-1
CELE_Y23H5A.4,CELE_Y23H5A.4
C49H3.6,C49H3.6
cct-3,cct-3
CELE_F54A3.3,cct-3
CES4A,CES4A
CES6,CES4A
CES8,CES4A
KPNA3,KPNA3
IPOA4,Kpna3
SRP1gamma,KPNA3
SRP4,KPNA3
hSRP1,KPNA3
SQLE,SQLE
AT3G18890,AT3G18890
AT4G31270,AT4G31270
F8F16.90,AT4G31270
F8F16_90,AT4G31270
rpc17,rpc17
mcm4,mcm4
SPCC24B10.01,mcm4
cdc21,mcm4-a
TRAPPC4,TRAPPC4
HSPC172,Trappc4
PTD009,Trappc4
SBDN,TRAPPC4
SYNBINDIN,TRAPPC4
TRS23,Trappc4
IDD4,IDD4
AtIDD4,IDD4
F5O4.15,IDD4
F5O4_15,IDD4
"indeterminate(ID)-domain 4",IDD4
GABPI,GABPI
CG17257,GABPI
DmelCG17257,GABPI
SHCBP1,SHCBP1
racC,racC
rplA,rplA
cxxc4,cxxc4
Xldax,cxxc4
xIdax,cxxc4
SEC24B,SEC24B
SEC24,SEC24
Numa1,Numa1
6720401E04Rik,Numa1
AA764025,Numa1
AL022610,Numa1
AU014979,Numa1
spict,spict
CG12292,spict
DmelCG12292,spict
spg6,spict
badb,badb
bad,badb
fa01b12,badb
"wu:fa01b12",badb
"wu:fa96d04",badb
CG13622,CG13622
DmelCG13622,CG13622
ymcD,ymcD
C35B1.2,C35B1.2
Ripk2,Ripk2
2210420D18Rik,Ripk2
CARD3,RIPK2
CARDIAK,RIPK2
D4Bwg0615e,Ripk2
RICK,RIPK2
RIP2,RIPK2
SERPINF1,SERPINF1
OI12,SP7
PEDF,SERPINF1
CDC26,CDC26
HIT3,HIT3
L000000265,CDC26
L000001809,CDC26
SCD26,CDC26
anaphase promoting complex subunit CDC26,CDC26
Hapln1,Hapln1
BB099155,Hapln1
CLP,CSRP3
Crtl1,Hapln1
Crtl1l,Hapln1
LP-1,Hapln1
NRD1,NRD1
L000002862,NRD1
Nrd1 complex RNA-binding subunit,NRD1
GSC1,FKS1
C1_02420C,GSC1
C1_02420C_B,GSC1
CA2043,GSC1
CAWG_01142,GSC1
CaO19.10446,GSC1
CaO19.2929,GSC1
CaO6.3785,GSC1
Contig4-2249_0002,GSC1
FKS1,FKS1
GSL2,GSC1
GSL21,GSC1
IPF10681.2,GSC1
IPF24355.1,GSC1
orf19.10446,GSC1
orf19.2929,GSC1
orf6.3785,GSC1
bssS,bssS
ECK1045,bssS
JW5152,bssS
yceP,yceP
kap95,kap95
Mur2B,Mur2B
CG14796,Mur2B
DmelCG14796,Mur2B
"EG:56G7.1",Mur2B
fmd3,fmd3
SPCC13B11.04c,fmd3
SPCC777.01c,fmd3
VDAC2,VDAC2
Msp300,Msp300
BBF-1,Msp300
Bbbf1,Msp300
"BcDNA:AT10293",Msp300
"BcDNA:GH02446",Msp300
"BcDNA:GH18470",Msp300
"BcDNA:LP10936",Msp300
CG14035,Msp300
CG18251,Msp300
CG18252,Msp300
CG31649,Msp300
CG31916,Msp300
CG33549,Msp300
CG33715,Msp300
CG42768,Msp300
DmelCG42768,Msp300
Dmel_CG14035,Msp300
Dmel_CG33715,Msp300
FBgn0010070,Msp300
MSP-300,Msp300
Spec25CD,Msp300
jf22,Msp300
"l(2)25Ch",Msp300
"l(2)jf22",Msp300
mis18,mis18
Cep85,Cep85
2410030J07Rik,Cep85
AI173272,Cep85
AI173504,Cep85
Ccdc21,Cep85
ybgL,ybgL
CG12362,CG12362
AAN11912.1,CG12362
DmelCG12362,CG12362
CG32809,CG32809
CG3737,CG32809
CG3783,CG32809
CG3791,CG32809
DmelCG32809,CG32809
"EG:171E4.3",CG32809
"EG:73D1.1",CG32809
"EG:9D2.2",CG32809
SMIM8,SMIM8
C6orf162,SMIM8
dJ102H19.2,SMIM8
rpsG,rpsG
ECK3328,rpsG
JW3303,rpsG
Grsf1,Grsf1
BB232551,Grsf1
C80280,Grsf1
D5Wsu31e,Grsf1
rpc-2,rpc-2
F09F7.3,rpc-2
CG11138,CG11138
"BEST:RE18684",CG11138
"BcDNA:RE48052",CG11138
CG1855,CG11138
DmelCG11138,CG11138
"EP(X)1313",CG11138
RE18684,CG11138
ADAMTSL5,ADAMTSL5
THSD6,ADAMTSL5
syp-2,syp-2
CELE_C24G6.1,syp-2
tcf4,tcf4
XE2,tcf4
Xtcf-4,tcf4
Xtcf4,tcf4
e2-A,tcf4
tcf-4,tcf4
SPAC1805.16c,SPAC1805.16c
DNAJB5,DNAJB5
Hsc40,Dnajb5
TMED9,TMED9
GMP25,TMED9
HSGP25L2G,TMED9
F36A2.7,F36A2.7
F52C9.3,F52C9.3
purE,purE
USP17L24,USP17L24
SIGIRR,SIGIRR
TIR8,SIGIRR
ECI1,CR_08670C_A
L000004206,ECI1
dodecenoyl-CoA isomerase,ECI1
tceb2,tceb2
elob,tceb2
elongin-B,tceb2
elonginb,tceb2
siii,tceb2
COA4,COA4
CMC3,COA4
ATXN7L3,ATXN7L3
CIPK17,CIPK17
CBL-interacting protein kinase 17,CIPK17
F21D18.2,CIPK17
SNF1-RELATED PROTEIN KINASE 3.21,CIPK17
SnRK3.21,CIPK17
FAR3,CER4
L000002919,FAR3
RTEL1-TNFRSF6B,RTEL1-TNFRSF6B
CG7099,CG7099
DmelCG7099,CG7099
FBgn 32517,CG7099
rpb-7,rpb-7
CELE_Y54E10BR.6,rpb-7
DAW1,DAW1
ODA16,DAW1
WDR69,DAW1
YCLWTy5-1,YCLWTy5-1
Ty5,YCLWTy5-1
Bre1,Bre1
Bre-1,Bre1
CG10542,Bre1
DmelCG10542,Bre1
dBre1,Bre1
"l(3)01640",Bre1
"e(y)1","e(y)1"
CG6474,"e(y)1"
DmelCG6474,"e(y)1"
TAF40,TAF11
TAF40/42,"e(y)1"
"TAF40/42/e(y)1","e(y)1"
TAF42,"e(y)1"
TAF9,TAFII21
TAFII40,"e(y)1"
"TAFII40(42)","e(y)1"
TAF[II]40,"e(y)1"
TAF[[II]]40,"e(y)1"
TAF[[II]]40/42,"e(y)1"
TAF[[II]]42,"e(y)1"
TFIID 42,"e(y)1"
TFIID-p42,"e(y)1"
d40,"e(y)1"
dTAF42,"e(y)1"
dTAF9,"e(y)1"
dTAFII42,"e(y)1"
dTAF[[40]],"e(y)1"
dTAF[[II]]40,"e(y)1"
dTAF[[II]]42,"e(y)1"
dmTAF9,"e(y)1"
dme-TAFII40,"e(y)1"
"e(y)4","e(y)1"
"e(y)[1]","e(y)1"
"taf40/e(y)1","e(y)1"
cenpt,cenpt
cenp-t,cenpt
msh1,Dr
SPAC23C11.18c,msh1
WRKY33,WRKY33
ATWRKY33,WRKY33
T19C21.4,WRKY33
T19C21_4,WRKY33
WRKY DNA-BINDING PROTEIN 33,WRKY33
CG30430,CG30430
DmelCG30430,CG30430
"NEST:bs01g11",CG30430
"NEST:bs02g04",CG30430
"NEST:bs04a11",CG30430
"NEST:bs12g08",CG30430
"NEST:bs13e09",CG30430
"NEST:bs14e02",CG30430
"NEST:bs15a10",CG30430
"NEST:bs15d07",CG30430
"NEST:bs17g03",CG30430
"NEST:bs27g03",CG30430
"NEST:bs29b02",CG30430
GABRE,GABRE
BBIP1,BBIP1
BBIP10,BBIP1
BBS18,BBIP1
NCRNA00081,BBIP1
bA348N5.3,BBIP1
cdtl-7,cdtl-7
CYP71B8,CYP71B8
polypeptide 8,CYP81D8
SNORD17,SNORD17
HBI-43,SNORD17
sedl-1,sedl-1
CELE_W05H7.3,sedl-1
atg-5,atg-5
SYCE3,SYCE3
C22orf41,SYCE3
THEG2,SYCE3
DRB5,DRB5
MEE6.14,DRB5
MEE6_14,DRB5
dsRNA-binding protein 5,DRB5
Prf1,Prf1
Pfn,Pfn1
Pfp,Prf1
Prf-1,Prf1
CD318,CDCP1
SIMA135,CDCP1
TRASK,CDCP1
AT5G40810,AT5G40810
MHK7.4,AT5G40810
MHK7_4,AT5G40810
PF14_0425,PF14_0425
CG32650,CG32650
CG4410,CG32650
DmelCG32650,CG32650
RNA5SP191,RNA5SP191
RN5S191,RNA5SP191
PF11_0275,PF11_0275
ZK783.3,ZK783.3
FN3KRP,FN3KRP
FN3KL,FN3KRP
SV40gp6,SV40gp6
LEE1,LEE1
L000002859,LEE1
ARL6IP1,ARL6IP1
AIP1,BIRC3
ARL6IP,ARL6IP1
ARMER,Arl6ip1
SPG61,ARL6IP1
atp-4,atp-4
CELE_T05H4.12,atp-4
ACOT12,ACOT12
CACH-1,ACOT12
Cach,ACOT12
STARD15,ACOT12
THEAL,ACOT12
AT1G27340,AT1G27340
F17L21.13,AT1G27340
F17L21_13,AT1G27340
KMT2B,Kmt2d
HRX2,KMT2B
MLL1B,KMT2B
MLL2,KMT2D
MLL4,KMT2D
TRX2,TXN2
WBP-7,KMT2B
WBP7,KMT2B
ORF1a,nsp11
ORF1a-nsp11,nsp11
PRO_0000449645,nsp11
R1A_SARS2,nsp11
SARS-CoV-2 nsp11,nsp11
SARS-CoV2 nsp11,nsp11
flo,flo
MYRIP,MYRIP
SLAC2-C,MYRIP
SLAC2C,MYRIP
CELE_T05H4.15,CELE_T05H4.15
CG5921,CG5921
DmelCG5921,CG5921
bZIP,bZIP
AtbZIP,bZIP
T6L1.5,bZIP
basic leucine-zipper 8,bZIP
bZIP3,bZIP3
AtbZIP3,bZIP3
F14F8.210,bZIP3
F14F8_210,bZIP3
basic leucine-zipper 3,bZIP3
pad-1,pad-1
CELE_Y18D10A.13,pad-1
CYCD7;1,CYCD7;1
CYCD7,CYCD7;1
CYCLIN D7;1,CYCD7;1
T7H20.160,CYCD7;1
T7H20_160,CYCD7;1
AT3G11930,AT3G11930
gfi-3,gfi-3
CELE_M163.4,gfi-3
apc-5,gfi-3
Pglyrp1,Pglyrp1
Pglyrp,Pglyrp1
Pgrp,Pglyrp1
ATR-X/XNP,XNP
CG4548,XNP
DATR-X,XNP
DATRX,XNP
DmelCG4548,XNP
"EP(3)0635",XNP
EP635,XNP
dXNP,XNP
xnp/atr-x,XNP
MYB61,MYB61
ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 61,MYB61
ATMYB61,MYB61
F14J9.20,MYB61
F14J9_20,MYB61
myb domain protein 61,MYB61
CABP7,CABP7
CALN2,CABP7
ARHGEF28,ARHGEF28
RGNEF,ARHGEF28
p190RHOGEF,ARHGEF28
DLAT,CG5261
DLTA,Dlat
PDC-E2,Dlat
PDCE2,DLAT
Gls2,Gls2
Ga,Gls2
Adcy8,Adcy8
AW060868,Adcy8
AT1G24510,AT1G24510
F21J9.17,AT1G24510
rga8,rga8
SPAC2F7.18c,rga8
RpS3A,RpS3A
C3,"l(2)35Be"
CG2168,RpS3A
DmelCG2168,RpS3A
"M(4)101",RpS3A
"M(4)57g",RpS3A
"M(4)[57g]",RpS3A
M57g,RpS3A
M[57g],RpS3A
"anon-EST:Liang-2.29",RpS3A
"chr4:86830..87021",RpS3A
"chr4:87101..87234",RpS3A
"chr4:87503..87595",RpS3A
clone 2.29,RpS3A
"l(4)102ABa",RpS3A
LINC01558,LINC01558
C6orf123,LINC01558
HGC6.2,LINC01558
LINC01557,LINC01558
dJ431P23.4,LINC01558
CG11920,CG11920
DmelCG11920,CG11920
UBC,UBC
HMG20,UBC
Spt6,Spt6
CG12225,Spt6
DmelCG12225,Spt6
Dspt6,Spt6
"l(1)G0063",Spt6
spt 6,Spt6
DG1,DSG1
DELAYED GREENING 1,DG1
EMB1408,DG1
EMB246,DG1
EMBRYO DEFECTIVE 246,DG1
K9I9.14,DG1
K9I9_14,DG1
embryo defective 1408,DG1
agl-1,agl-1
CELE_R06A4.8,agl-1
MUB6,MUB6
F2E2.12,MUB6
F2E2_12,MUB6
membrane-anchored ubiquitin-fold protein 6 precursor,MUB6
PODN,PODN
PCAN,PODN
SLRR5A,PODN
Hbp1,Hbp1
1700058O05Rik,Hbp1
BE629963,Hbp1
C330012F01Rik,Hbp1
C86454,Hbp1
NTT,CX3CL1
NO TRANSMITTING TRACT,NTT
WIP domain protein 2,NTT
LHT2,LHT2
AATL2,LHT2
AMINO ACID TRANSPORTER-LIKE PROTEIN 2,LHT2
ARABIDOPSIS LYSINE HISTIDINE TRANSPORTER 2,LHT2
ATLHT2,LHT2
F21J9.6,LHT2
lysine histidine transporter 2,LHT2
XW6,XW6
F9K23.9,XW6
F9K23_9,XW6
AT4G39550,AT4G39550
F23K16.180,AT4G39550
F23K16_180,AT4G39550
RHOXF2,RHOXF2
CT107,RHOXF2
PEPP-2,PLEKHA5
PEPP2,PLEKHA5
THG1,TSC22D4
Scarf1,Scarf2
AA986099,Scarf1
SREC,SCARF1
SREC-I,SCARF1
mKIAA0149,Scarf1
Y42H9B.3,Y42H9B.3
MTMR6,MTMR6
LIF,Lifr
CDF,LIF
DIA,DIAPH2
HILDA,LIF
MLPLI,LIF
Nol12,Nol12
C78541,Nol12
Nop25,NOL12
SNORA74B,SNORA74B
U19-2,SNORA74B
yfbT,yfbT
spo13,spo13
SPNCRNA.546,spo13
SPNGAF60,spo13
D15Ertd621e,D15Ertd621e
AV220772,D15Ertd621e
BC033609,D15Ertd621e
Fam91a1,D15Ertd621e
SKIN,D15Ertd621e
mKIAA0493,D15Ertd621e
CG7639,CG7639
DmelCG7639,CG7639
yebR,yebR
Ezh1,Ezh1
ENX-2,Ezh1
Otud6b,Otud6b
2600013N14Rik,Otud6b
AU015433,Otud6b
ing1,ing1
xing1,ing1
Serpinb9,Serpinb9
BB283241,Serpinb9
CAP-3,SERPINB9
CAP3,SERPINB9
PI-9,SERPINB9
PI9,SERPINB9
Spi6,Serpinb9
ovalbumin,Serpinb7
Fmod,Fmod
AI131919,Fmod
AU041740,Fmod
SLRR2E,FMOD
CG3534,CG3534
DmelCG3534,CG3534
PRMT5,SKB1
HRMT1L5,PRMT5
IBP72,PRMT5
JBP1,csul
SKB1,SKB1
SKB1Hs,PRMT5
GAPcenA,GAPcenA
CG7112,GAPcenA
DmelCG7112,GAPcenA
FBgn 35879,GAPcenA
FBgn0035879,GAPcenA
TTLL13,TTLL13
arsR,arsR
ECK3486,arsR
JW3468,arsR
arsE,arsR
Casp3,decay
A830040C14Rik,Casp3
AC-3,Casp3
Apopain,Casp3
CASP-3,Casp3
CC3,HTATIP2
CPP-32,Casp3
CPP32,CASP3
Caspase-3,decay
Lice,Casp3
SCA-1,CASP3
Yama,Casp3
mldy,Casp3
FY,FUZ
T6I14.10,FY
T6I14_10,FY
Ndufa3,Ndufa3
1010001M12Rik,Ndufa3
1700022J01Rik,Ndufa3
PfCK2beta2,PfCK2beta2
acs-18,acs-18
CELE_R09E10.3,acs-18
SPC24,SPC24
L000004694,SPC24
pop5,pop5
SPCC830.09c,pop5
AT5G19230,AT5G19230
T24G5.130,AT5G19230
T24G5_130,AT5G19230
SPBC21C3.10c,SPBC21C3.10c
CG4617,CG4617
DmelCG4617,CG4617
CCT4,CG5525
ANC2,PET9
L000000087,CCT4
ZNF746,ZNF746
PARIS,ZNF746
MXRA8,MXRA8
GLR2.9,GLR2.9
ATGLR2.9,GLR2.9
GLUTAMATE RECEPTOR 2.9,GLR2.9
T9I4.18,GLR2.9
T9I4_18,GLR2.9
mcp6,mcp6
hrs1,hrs1
mug3,mcp6
C16C8.12,C16C8.12
NAC063,NAC063
NAC domain containing protein 63,NAC063
anac063,NAC063
Hsdl2,Hsdl2
2610207I16Rik,Hsdl2
KIF2C,KIF2C
CT139,KIF2C
KNSL6,KIF2C
ybaO,ybaO
ACBD4,ACBD4
Cdh4,Cdh4
AW120700,Cdh4
R-Cadh,Cdh4
R-cadherin,Cdh4
Rcad,Ufl1
dad2,dad2
hos2,hos2
AGL66,AGL66
AGAMOUS-like 66,AGL66
F28K19.20,AGL66
F28K19_20,AGL66
YBR056W,YBR056W
17-beta-hydroxysteroid dehydrogenase-like protein,YBR056W
PDE8B,PDE8B
ADSD,PDE8B
PPNAD3,PDE8B
ygjG,ygjG
ser3,ser3
SPCC364.07,ser3
SPCC4G3.01,ser3
ANP1,NP1
GEM3,ANP1
L000000089,ANP1
MNN8,ANP1
YBL086C,YBL086C
CPE,CPE
CG1109,CG1109
"BcDNA:LD24014",CG1109
DmelCG1109,CG1109
WDR33,WDR33
CABLES1,CABLES1
CABL1,CABLES1
CABLES,CABLES1
HsT2563,CABLES1
IK3-1,CABLES1
Neurod1,Neurod1
BETA2,NEUROD1
BHF-1,NEUROD1
Neurod,Neurod1
bHLHa3,NEUROD1
Nupr1,Nupr1
2310032H04Rik,Nupr1
Com1,Nupr1
aro1,aro1
DNAJC9,DNAJC9
HDJC9,DNAJC9
JDD1,DNAJC9
SB73,DNAJC9
AT5G59260,AT5G59260
